id,Name,Gender,Status,Intake Date,Outcome Date,Age,Description,Found At,Rescue Partners,Interested?,scrape_date,Address,Located At,Phone Number,Website,url
A169144,Princesa,Spayed Female,Returned to Owner,,2025/11/21,14 years old,"spayed female, black German Shepherd Dog mix",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A169144
A222067,Lobo,Neutered Male,Returned to Owner,,2025/11/23,5 years old,"neutered male, black and white Siberian Husky and Alaskan Malamute",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A222067
A223409,Chico,Neutered Male,Returned to Owner,,2025/11/23,5 years old,"neutered male, black and white American Pit Bull Terrier",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A223409
A239910,Ukulele,Neutered Male,Available,2025/11/15,,7 years old,"neutered male, tan American Pit Bull Terrier","2600 Block S Kedzie Ave, Chicago Il 60623",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A239910
A240961,Kronos,Neutered Male,Available,2025/11/25,,5 years old,"neutered male, black and white Labrador Retriever and American Pit Bull Terrier","800 Block W 66Th St, Chicago Il 60621",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A240961
A271832,Egg Salad,Spayed Female,Available,2025/11/22,,6 years old,"spayed female, gray and white American Pit Bull Terrier","12000 Block S Eggleston Ave, Chicago Il 60628",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A271832
A274844,Boomiko,Neutered Male,Adopted,,2025/11/23,4 years old,"neutered male, white and black Siberian Husky",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A274844
A281332,Leo Dicaprio,Male,Available,2025/11/18,,1 year and 5 months old,"male, brown and white American Pit Bull Terrier","0 Block E Garfield Blvd, Chicago, Il 60637",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A281332
A283095,Modena,Spayed Female,Available,2025/11/11,,1 year and 7 months old,"spayed female, tan and white Labrador Retriever",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A283095
A283169,Buddy,Male,Available,2025/11/16,,5 years old,"male, tan Chihuahua - Smooth Coated","2700 Block S Western Ave, Chicago Il 60608",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A283169
